Address,Genesis Qty,Clawback Qty
osmo100a325n9ct4m2egvctrh48zheg2hwl5lr26rzy,2,1.894419
osmo100a3h8gujg4ydnk0te6ru5nz9uh5eundqt56nn,2,1e-06
osmo100fjd4fgvavlevh44wqtfl8e46ryyzmh6xca3u,1,0.694621
osmo102qk6946cweqm678a0da7e5vusglvhrn2tsjqj,1,1.0
osmo102ruvpv2srmunfffxavttxnhezln6fnce66wae,13,11.792584
osmo10386s0yz7grheny3spfhc3av2uwk52j3ut2kf9,2,0.912332
osmo103agss48504gkk3la5xcg5kxplaf6ttn3rd50k,5,5.0
osmo103c4g7vyq9lxd5t7e9jv038a57ru7knc5drdg8,1,0.0001
osmo105l5r3rjtynn7lg362r2m9hkpfvmgmjtkglsn9,7,15.727405
osmo1065smngmfh2fftdcj8xz7quh54ks4pfhn4kpx9,3,2.837755
osmo1068xpzrd99fns7sy74e9y4tqcpq0trktrtecj6,2,0.052951
osmo106rfmwj6w6x3fda06zya5pdcygm8774u0wlr6v,1,1.000003
osmo107e4c56a7cjch7t506rn8c6qm8e7vl7g40kh78,3,1.918554
osmo107vjqq2g0ksant3ga08s6am7j9pk7vwqhj0vr0,1,2.43725
osmo1083svrca4t350mphfv9x45wq9asrs60cq5yv9n,1,2.747302
osmo108m6mvhujyx75p0y53p0dwfad536jjwrm7c322,3,1.102634
osmo108yw43as5l6gchwx8f6xa2d9zce45gw02xg48h,1,1.0
osmo1098nha0z7d43k2uh2as7a3ywx2q3w8wjsvtz2s,1,1.022926
osmo10ehv80hlfdh6avh40gwspm0klwrgg9xtt8t986,1,1.0
osmo10enwna0utlf3wj5zqf53zz8g9arqad73hqjkmv,1,1.0
osmo10fqrw8vrmp6csljkjstedg0v3uxzeu24xhsxxk,4,2.945067
osmo10gzqgrvmnht8rmc85f9q0ll4k2z7432ghqq8th,1,1.0
osmo10h0mclun4jkwwz5pkg3a74vmzjl0famvcvvap2,1,0.59158
osmo10hc0ylp6t0fmwpyga2zc6zj5qcf3ed0nuxvuva,1,1.0
osmo10jrwe0uzsz3s37ssaqss4eyha5tfzzu9gkmssf,1,0.992986
osmo10jsxtgvj4egx0nfr7zed4x6gv4xpj05xjren96,2,0.250613
osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj,2,2.0
osmo10l3rfs5eya90utgm6g3lrtf6pzff3mucky558p,3,3.459708
osmo10l56qdud5g6qt3pzywy65urm9cle0mx7pm8hlw,1,1.102324
osmo10ljqqrcn9rp95qvfs7x3vgw5zlzlfrhx5t84v8,1,1.0
osmo10npjtclfw6yju8lrk52p04hljk8acsjh4rlmvf,1,0.889275
osmo10nzaaeh2kq28t3nqsh5m8kmyv90vx7yme5xcv8,3,3.0
osmo10p4snfgpwumjxyckpgu3q98qcsrpljsmaeayuz,2,2.0
