address,ion-total
osmo100a325n9ct4m2egvctrh48zheg2hwl5lr26rzy,1.894419
osmo100a3h8gujg4ydnk0te6ru5nz9uh5eundqt56nn,1e-06
osmo100fjd4fgvavlevh44wqtfl8e46ryyzmh6xca3u,0.694621
osmo100tjtxyu3pxyca8hcdhegw0ljxvljz9zltg6y4,0.044925
osmo100x056tlftap9k98r75mm3ujhn5hrvj8mmmuey,0.00666
osmo102ptfa2czp8varvcd6eu5qw03szm8yjh3e2rn7,1.433236
osmo102qk6946cweqm678a0da7e5vusglvhrn2tsjqj,1.0
osmo102ruvpv2srmunfffxavttxnhezln6fnce66wae,11.792584
osmo10386s0yz7grheny3spfhc3av2uwk52j3ut2kf9,0.912332
osmo103agss48504gkk3la5xcg5kxplaf6ttn3rd50k,5.0
osmo103c4g7vyq9lxd5t7e9jv038a57ru7knc5drdg8,0.0001
osmo103s29j7dyc3utljce802m38p2kk89taj45z536,1e-06
osmo104algnpncvwvsrm24ds2v2uk34gepg07qj3jkn,0.886708
osmo104c9705qhahdvs3qumhlmk2esf6jgh8q9sgl5y,0.004798
osmo105l5r3rjtynn7lg362r2m9hkpfvmgmjtkglsn9,15.727405
osmo105lcm7vqvl60ncwy3jf337qdxjl4kjfrqp2372,0.217181
osmo1065smngmfh2fftdcj8xz7quh54ks4pfhn4kpx9,2.837755
osmo1068xpzrd99fns7sy74e9y4tqcpq0trktrtecj6,0.052951
osmo106cpydtflfufkepf75e7tchzvlwf3xp4m42kc6,0.855011
osmo106pu65mnndcvjfr0rzmw99usl6scfedh4kxx94,0.001507
osmo106rfmwj6w6x3fda06zya5pdcygm8774u0wlr6v,1.000003
osmo106v0dgp92mwgerjph7aw84wwkutzuq4znz4d69,0.002604
osmo106x8q2nv7xsg7qrec2zgdf3vvq0t3gn49zvaha,0.288127
osmo106ymhxaq5xkc0hv5txmg0rx8tnx9xy7rq39lc8,0.034572
osmo10726hk07gkln8cw75kt4gfgparlkv9vkyfykpj,0.005076
osmo107907hl4wwp47l9as78muknuqey3qz3zp9c0te,1e-06
osmo107e4c56a7cjch7t506rn8c6qm8e7vl7g40kh78,1.918554
osmo107r0ylq95jdantsxr2v376s3mu0ufh6g5fh0j7,1.80028
osmo107vjqq2g0ksant3ga08s6am7j9pk7vwqhj0vr0,2.43725
osmo1083svrca4t350mphfv9x45wq9asrs60cq5yv9n,2.747302
osmo10893eq4mmxmjstyanhx33x0ae89gqf8mdy2w2x,0.077594
osmo108gstdpfdlhtjyy7m9ztm3fyd8e6dgpywwc05q,1.656717
osmo108m6mvhujyx75p0y53p0dwfad536jjwrm7c322,1.102634
osmo108pvkgt4yvrscqju02st3ac2nfs0r77xjkn3xc,0.167426
osmo108yw43as5l6gchwx8f6xa2d9zce45gw02xg48h,1.0
osmo1098nha0z7d43k2uh2as7a3ywx2q3w8wjsvtz2s,1.022926
osmo109fxpg3ezmf6w55lf2uzgjf72xk24r00h8dwqu,0.878327
osmo10a99j6vpdc8k88pvh4r38ks59qdg5ugv6vldlc,3.0
osmo10aeqvp09thzdn8w09gfffqjp42klcnr5xuacxx,0.638308
osmo10aq77vurejlfqgsa45vv9seke4e3dpqtmk3kem,0.011044
osmo10asvqus2p27j0csexkhzudkymxzdktlvwqxdaa,0.015917
osmo10c8znaj94y900syues06dz50hw6y9qpku55szp,0.168561
